Sample,Time(sec),Time(min),RawValue,TextValue,Units,SessionNum,SessionID,SessionType,Phase
74,292,4.87,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,TAKEOFF
75,296,4.93,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,TAKEOFF
76,300,5,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,TAKEOFF
77,304,5.07,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,TAKEOFF
78,308,5.13,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,TAKEOFF
79,312,5.2,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,TAKEOFF
80,316,5.27,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,TAKEOFF
81,320,5.33,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,TAKEOFF
82,324,5.4,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,TAKEOFF
83,328,5.47,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
84,332,5.53,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
85,336,5.6,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
86,340,5.67,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
87,344,5.73,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
88,348,5.8,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
89,352,5.87,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
90,356,5.93,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
91,360,6,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
92,364,6.07,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
93,368,6.13,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
94,372,6.2,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
95,376,6.27,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
96,380,6.33,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
97,384,6.4,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
98,388,6.47,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
99,392,6.53,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
100,396,6.6,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
101,400,6.67,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
102,404,6.73,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
103,408,6.8,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
104,412,6.87,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
105,416,6.93,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
106,420,7,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
107,424,7.07,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
108,428,7.13,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
109,432,7.2,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
110,436,7.27,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
111,440,7.33,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
112,444,7.4,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
113,448,7.47,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
114,452,7.53,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
115,456,7.6,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
116,460,7.67,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
117,464,7.73,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
118,468,7.8,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
119,472,7.87,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
120,476,7.93,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
121,480,8,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
122,484,8.07,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
123,488,8.13,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
124,492,8.2,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
125,496,8.27,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
126,500,8.33,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
127,504,8.4,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
128,508,8.47,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
129,512,8.53,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
130,516,8.6,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
131,520,8.67,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
132,524,8.73,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
133,528,8.8,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
134,532,8.87,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
135,536,8.93,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
136,540,9,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
137,544,9.07,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
138,548,9.13,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
139,552,9.2,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
140,556,9.27,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
141,560,9.33,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
142,564,9.4,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
143,568,9.47,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
144,572,9.53,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
145,576,9.6,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
146,580,9.67,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
147,584,9.73,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
148,588,9.8,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
149,592,9.87,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
150,596,9.93,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
151,600,10,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
152,604,10.07,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
153,608,10.13,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
154,612,10.2,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
155,616,10.27,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
156,620,10.33,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
157,624,10.4,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
158,628,10.47,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
159,632,10.53,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
160,636,10.6,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
161,640,10.67,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
162,644,10.73,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
163,648,10.8,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
164,652,10.87,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
165,656,10.93,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
166,660,11,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
167,664,11.07,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
168,668,11.13,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
169,672,11.2,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
170,676,11.27,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
171,680,11.33,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
172,684,11.4,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
173,688,11.47,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
174,692,11.53,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
175,696,11.6,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
176,700,11.67,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
177,704,11.73,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
178,708,11.8,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
179,712,11.87,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
180,716,11.93,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
181,720,12,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
182,724,12.07,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
183,728,12.13,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
184,732,12.2,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
185,736,12.27,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
186,740,12.33,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
187,744,12.4,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
188,748,12.47,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
189,752,12.53,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
190,756,12.6,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
191,760,12.67,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
192,764,12.73,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
193,768,12.8,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
194,772,12.87,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
195,776,12.93,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
196,780,13,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
